"Geographic code","Geographic name","CSD type","Province or territory","Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2016","Population, 2011","2011 adjusted population flag","Incompletely enumerated Indian reserves and Indian settlements, 2011","2016 population review flag","2011 population review or received update flag","Population, % change","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016","National population rank, 2016","Provincial/territorial population rank, 2016"
"01","Canada",,,T,35151728,33476688,F,T,F,,5.0,15412443,14072079,8965588.85,3.9,,
"3520005","Toronto",City (C),"Ontario",F,2731571,2615060,F,F,F,,4.5,1179057,1112929,630.20,4334.4,1,1
"2466023","Montréal",Ville (V),"Quebec",F,1704694,1649519,F,F,F,,3.3,843872,779802,365.65,4662.1,2,1
"4806016","Calgary",City (CY),"Alberta",F,1239220,1096833,F,F,F,,13.0,489650,466725,825.56,1501.1,3,1
"3506008","Ottawa",City (CV),"Ontario",F,934243,883391,F,F,F,,5.8,395985,373756,2790.30,334.8,4,2
"4811061","Edmonton",City (CY),"Alberta",F,932546,812201,F,F,F,,14.8,387950,360828,685.25,1360.9,5,2
"3521005","Mississauga",City (CY),"Ontario",F,721599,713443,F,F,F,,1.1,248469,240913,292.43,2467.6,6,3
"4611040","Winnipeg",City (CY),"Manitoba",F,705244,663617,F,F,F,,6.3,294245,281046,464.33,1518.8,7,1
"5915022","Vancouver",City (CY),"British Columbia",F,631486,603502,F,F,F,,4.6,309418,283916,114.97,5492.6,8,1
"3521010","Brampton",City (CY),"Ontario",F,593638,523906,T,F,F,D,13.3,173428,168011,266.36,2228.7,9,4
"3525005","Hamilton",City (C),"Ontario",F,536917,519949,F,F,F,,3.3,222918,211596,1117.29,480.6,10,5
"2423027","Québec",Ville (V),"Quebec",F,531902,516576,T,F,F,D,3.0,266409,252043,453.38,1173.2,11,2
"5915004","Surrey",City (CY),"British Columbia",F,517887,468251,F,F,F,,10.6,181159,169964,316.41,1636.8,12,2
"2465005","Laval",Ville (V),"Quebec",F,422993,401553,F,F,F,,5.3,165686,160328,247.23,1710.9,13,3
"1209034","Halifax",Regional municipality (RGM),"Nova Scotia",F,403131,390086,T,F,F,D,3.3,187338,173324,5490.35,73.4,14,1
"3539036","London",City (CY),"Ontario",F,383822,366151,F,F,F,,4.8,175558,163140,420.35,913.1,15,6
"3519036","Markham",City (CY),"Ontario",F,328966,301709,F,F,F,,9.0,106131,102676,212.35,1549.2,16,7
"3519028","Vaughan",City (CY),"Ontario",F,306233,288301,F,F,F,,6.2,96657,94253,273.56,1119.4,17,8
"2481017","Gatineau",Ville (V),"Quebec",F,276245,265349,F,F,F,,4.1,125608,118385,342.80,805.8,18,4
"4711066","Saskatoon",City (CY),"Saskatchewan",F,246376,222246,T,F,T,D,10.9,107098,98565,228.13,1080.0,19,1
"2458227","Longueuil",Ville (V),"Quebec",F,239700,231409,F,F,F,,3.6,110761,105533,115.75,2070.9,20,5
"3530013","Kitchener",City (CY),"Ontario",F,233222,219153,F,F,F,,6.4,95495,92217,136.77,1705.2,21,9
"5915025","Burnaby",City (CY),"British Columbia",F,232755,223218,F,F,F,,4.3,98030,92201,90.61,2568.7,22,3
"3537039","Windsor",City (CY),"Ontario",F,217188,210891,F,F,F,,3.0,97777,91632,146.38,1483.8,23,10
"4706027","Regina",City (CY),"Saskatchewan",F,215106,193150,T,F,F,D,11.4,93197,87417,179.97,1195.2,24,2
"5915015","Richmond",City (CY),"British Columbia",F,198309,190473,F,F,F,,4.1,77478,73457,129.27,1534.1,25,4
"3519038","Richmond Hill",Town (T),"Ontario",F,195022,185541,F,F,F,,5.1,66465,64116,101.11,1928.8,26,11
"3524001","Oakville",Town (T),"Ontario",F,193832,182520,F,F,F,,6.2,68617,66269,138.89,1395.6,27,12
"3524002","Burlington",City (CY),"Ontario",F,183314,175779,F,F,F,,4.3,72535,71373,185.66,987.3,28,13
"3553005","Greater Sudbury",City (CV),"Ontario",F,161531,160274,F,F,F,,0.8,75029,69152,3228.35,50.0,29,14
"2443027","Sherbrooke",Ville (V),"Quebec",F,161323,154601,F,F,F,,4.3,80341,73506,353.76,456.0,30,6
"3518013","Oshawa",City (CY),"Ontario",F,159458,149607,F,F,F,,6.6,64883,62595,145.64,1094.9,31,15
"2494068","Saguenay",Ville (V),"Quebec",F,145949,144746,F,F,F,,0.8,69859,66246,1128.56,129.3,32,7
"2425213","Lévis",Ville (V),"Quebec",F,143414,138769,F,F,F,,3.3,62585,60779,449.05,319.4,33,8
"3543042","Barrie",City (CY),"Ontario",F,141434,136063,T,F,F,B,3.9,54227,52476,99.04,1428.0,34,16
"5909052","Abbotsford",City (CY),"British Columbia",F,141397,133497,F,F,F,,5.9,51770,49040,375.55,376.5,35,5
